trial,backend,layout,success,steps,sim_s,wall_s,worker_load_s,behavior_done,max_xy_off_mm,init_belief_err_mm,order,grasps,ghost_rejects,published,snapped,reacquired
0,finetuned,random,True,1355,20.1,37.4,0.0,True,2.3,574.5,RedCube->YellowCube->GreenCube->BlueCube,4,0,12,4,6
1,finetuned,random,True,1599,24.1,37.8,0.0,True,3.3,249.1,RedCube->YellowCube->GreenCube->BlueCube,4,0,6,4,2
2,finetuned,random,True,1443,21.5,34.3,0.0,True,2.0,438.5,RedCube->YellowCube->GreenCube->BlueCube,4,0,4,4,0
3,finetuned,random,True,1573,23.7,36.6,0.0,True,4.4,264.7,RedCube->YellowCube->GreenCube->BlueCube,4,0,5,4,1
4,finetuned,random,True,1499,22.5,34.4,0.0,True,5.0,290.6,RedCube->YellowCube->GreenCube->BlueCube,4,0,5,4,1
5,finetuned,random,True,1409,21.0,33.5,0.0,True,1.5,407.0,RedCube->YellowCube->GreenCube->BlueCube,4,0,7,4,1
6,finetuned,random,True,1472,22.0,35.3,0.0,True,4.9,284.3,RedCube->YellowCube->GreenCube->BlueCube,4,0,4,4,0
7,finetuned,random,True,1434,21.4,34.1,0.0,True,5.3,410.2,RedCube->YellowCube->GreenCube->BlueCube,4,0,8,4,0
8,finetuned,random,True,1517,22.8,36.8,0.0,True,4.4,255.9,RedCube->YellowCube->GreenCube->BlueCube,4,0,9,4,3
9,finetuned,random,True,1413,21.0,33.3,0.0,True,4.3,432.7,RedCube->YellowCube->GreenCube->BlueCube,4,0,4,4,0
