trial,backend,layout,success,steps,sim_s,wall_s,worker_load_s,behavior_done,max_xy_off_mm,init_belief_err_mm,order,grasps,ghost_rejects,published,snapped,reacquired
0,gdino,random,True,1364,20.2,46.1,4.6,True,10.2,574.5,RedCube->YellowCube->GreenCube->BlueCube,4,6,13,9,5
1,gdino,random,False,5999,100.0,157.7,4.9,False,473.6,249.1,RedCube->BlueCube->GreenCube->YellowCube,2,0,19,14,0
2,gdino,random,False,5999,100.0,166.0,4.6,False,714.1,438.5,BlueCube->GreenCube->YellowCube->RedCube,1,3,93,84,3
3,gdino,random,False,5999,100.0,155.2,4.9,False,792.2,264.7,BlueCube->YellowCube->GreenCube->RedCube,4,0,14,84,0
4,gdino,random,False,5999,100.0,159.2,4.6,False,524.1,290.6,BlueCube->GreenCube->YellowCube->RedCube,3,0,37,82,0
5,gdino,random,False,5999,100.0,156.6,4.7,False,590.9,407.0,BlueCube->RedCube->GreenCube->YellowCube,4,9,19,40,2
6,gdino,random,False,5999,100.0,158.2,4.8,False,545.7,284.3,RedCube->BlueCube->GreenCube->YellowCube,1,0,6,6,0
7,gdino,random,True,1418,21.1,44.4,4.6,True,6.4,410.2,RedCube->YellowCube->GreenCube->BlueCube,4,0,12,11,3
8,gdino,random,True,1578,23.8,48.9,4.8,True,5.0,255.9,RedCube->YellowCube->GreenCube->BlueCube,4,0,7,7,2
9,gdino,random,True,1963,30.2,59.5,4.9,True,3.0,432.7,RedCube->YellowCube->GreenCube->BlueCube,4,2,14,15,1
