trial,backend,layout,success,steps,sim_s,wall_s,worker_load_s,behavior_done,max_xy_off_mm,init_belief_err_mm,order,grasps,ghost_rejects,published,snapped,reacquired
0,qwen,default,True,2201,34.2,69.9,8.0,True,4.8,0.0,RedCube->YellowCube->GreenCube->BlueCube,4,29,7,8,3
1,qwen,default,True,1787,27.3,54.8,7.8,True,3.7,0.0,RedCube->YellowCube->GreenCube->BlueCube,4,45,6,7,2
2,qwen,default,True,2181,33.8,65.2,7.7,True,5.3,0.0,RedCube->YellowCube->GreenCube->BlueCube,4,20,8,7,3
3,qwen,default,True,2081,32.2,63.6,7.8,True,7.7,0.0,RedCube->YellowCube->GreenCube->BlueCube,4,4,6,9,2
4,qwen,default,True,1793,27.4,54.9,7.9,True,4.2,0.0,RedCube->YellowCube->GreenCube->BlueCube,4,30,4,7,2
5,qwen,default,True,1732,26.4,54.2,7.6,True,3.5,0.0,RedCube->YellowCube->GreenCube->BlueCube,4,35,2,4,1
6,qwen,default,True,2271,35.3,67.0,7.6,True,7.7,0.0,RedCube->YellowCube->GreenCube->BlueCube,4,17,7,7,3
7,qwen,default,True,1819,27.8,56.3,7.6,True,4.2,0.0,RedCube->YellowCube->GreenCube->BlueCube,4,37,4,7,2
8,qwen,default,True,1851,28.3,57.7,7.6,True,3.9,0.0,RedCube->YellowCube->GreenCube->BlueCube,4,3,4,9,2
9,qwen,default,True,1735,26.4,56.1,7.6,True,4.0,0.0,RedCube->YellowCube->GreenCube->BlueCube,4,38,2,6,1
