class,depth,err_box,err_none,err_ray,err_xy,err_z,est_x,est_y,est_z,frame,gt_x,gt_y,gt_z,score,status,u,v
red_cube,0.8934967517852783,0.00223904217797701,0.02712141778668158,0.00257794030409434,0.0021841651248245266,0.0004926789849996581,0.7092791784356093,-0.19854976876803515,0.02624241638183594,0,0.7097487449645996,-0.1964166760444641,0.02574973739683628,0.9565261602401733,ok,565.9307861328125,583.578857421875
yellow_cube,1.0781259536743164,0.0037030543105154587,0.02729838192739306,0.0023133388342468845,0.003703054258573669,6.202310323701055e-07,0.41801684568187486,-0.44300541372669816,0.02575,0,0.42040205001831055,-0.44017285108566284,0.02574937976896763,0.9533166885375977,ok,470.2939453125,447.3143310546875
green_cube,1.0977816581726074,0.002854222105438667,0.028465634472683292,0.003457193817699023,0.002854222023585261,6.83560967443958e-07,0.3851233805791043,-0.2563244554293275,0.02575,0,0.3863770067691803,-0.25376027822494507,0.025749316439032555,0.9535032510757446,ok,554.5708618164062,434.4486083984375
blue_cube,0.9075222015380859,0.001706169876974891,0.028169302030934193,0.002887978299763683,0.0015267865541991011,0.0007615369111299529,0.6865344045903107,-0.3081247156305237,0.0265111141204834,0,0.6862291097640991,-0.3066287636756897,0.025749577209353447,0.9639739394187927,ok,509.4026184082031,570.8602294921875
red_cube,0.92435622215271,0.0012961401566619394,0.028782859723701416,0.0032492950738773323,0.0009603055355443637,0.0008705128282308593,0.6594979181732256,0.25411568094165776,0.02662013101577759,1,0.659993588924408,0.2532931864261627,0.02574961818754673,0.9499298334121704,ok,802.3195190429688,556.2808837890625
yellow_cube,0.9609770774841309,0.002524886727153158,0.027393374663296093,0.0026785611286006127,0.002524886622661422,7.2640180587627e-07,0.6024595822028931,-0.34501570669028253,0.02575,1,0.6037335991859436,-0.34283581376075745,0.025749273598194122,0.9547048807144165,ok,498.3258056640625,527.472412109375
green_cube,1.118166446685791,0.0025013443664145675,0.028958926103663577,0.003462735631982993,0.0025013442745344876,6.779730319962651e-07,0.3532088794091415,0.25941042788682817,0.02575,1,0.3557089865207672,0.2594890892505646,0.025749322026968002,0.9502171277999878,ok,776.457275390625,422.7939453125
blue_cube,0.9761881828308105,0.0011046143050886617,0.028788829908134507,0.0031403675462556655,0.0008399355726867408,0.0007174127101898208,0.5768559965265382,0.0628516194015303,0.02646664905548096,1,0.5769481658935547,0.06368648260831833,0.025749236345291138,0.9493445754051208,ok,700.1131591796875,514.930908203125
red_cube,1.1502048969268799,0.003026852512658805,0.029318386662352244,0.00390312886237928,0.0030268523335826494,1.0411888360963018e-06,0.30344178756079315,0.35922518718988916,0.02575,2,0.3064667284488678,0.35933274030685425,0.025748958811163902,0.9439533948898315,ok,814.1165771484375,405.519775390625
yellow_cube,1.1651265621185303,0.004013551377420666,0.028762585591574324,0.003669920702987076,0.00401355133668893,5.718022584901006e-07,0.27797287979238494,-0.3184432900727956,0.02575,2,0.28138449788093567,-0.3163291811943054,0.02574942819774151,0.9426911473274231,ok,534.0394287109375,396.591552734375
green_cube,0.9255425930023193,0.002510589276017872,0.02787217965024536,0.0031758276372756996,0.0023756599891038605,0.0008119717538356795,0.6576750979278795,-0.1568419544849961,0.02656088399887085,2,0.6577447056770325,-0.15446731448173523,0.02574891224503517,0.9482116103172302,ok,590.0209350585938,555.32861328125
blue_cube,1.0416109561920166,0.0015457556389327507,0.029334959665177133,0.0038591806800769126,0.0013615911422906093,0.0007317308634519591,0.4722885202959637,-0.05573870718961405,0.0264803581237793,2,0.47314777970314026,-0.05468248575925827,0.02574862726032734,0.9300654530525208,ok,641.9541625976562,468.4617919921875
red_cube,1.114717960357666,0.0019889483963798573,0.02999595140936894,0.004382383769335424,0.001988947839600704,1.4882236719117314e-06,0.3582433238385564,0.32426151606308873,0.02575,3,0.36023157835006714,0.32431402802467346,0.025748511776328087,0.936653196811676,ok,804.6688232421875,424.5345458984375
yellow_cube,0.9345207214355469,0.0015148499769199817,0.027635687758696008,0.0023675617527128975,0.0014991686550026651,0.00021740238368511342,0.6440623744546535,-0.2899449679318124,0.025965075969696046,3,0.6447616815567017,-0.28861889243125916,0.025747673586010933,0.9570537805557251,ok,522.4660491943359,548.3208618164062
green_cube,0.9249494075775146,0.0016824292049383485,0.02738913299368688,0.0018608422638084678,0.0016824282626261217,1.7806589603409917e-06,0.6611744981714074,0.3592170400122904,0.02575,3,0.6624065041542053,0.35807129740715027,0.025748219341039658,0.9690435528755188,ok,856.5046997070312,557.5364990234375
blue_cube,1.1411242485046387,0.003194282709021003,0.028753394034233437,0.003706343140225879,0.00319428215614785,1.8793791532502324e-06,0.31566933874450215,-0.11646385869333914,0.02575,3,0.3182346522808075,-0.11456054449081421,0.02574812062084675,0.9613806009292603,ok,616.363525390625,409.30645751953125
red_cube,1.1411240100860596,0.004105364334438672,0.027594505455770194,0.0026906191083923797,0.004105363962672875,1.7471313476548345e-06,0.31751604596188165,-0.3419290039264616,0.02575,4,0.32056596875190735,-0.33918091654777527,0.025748252868652344,0.9482864141464233,ok,521.9760131835938,410.300537109375
yellow_cube,1.0393621921539307,0.0025003467367284656,0.028840810841975914,0.003824850541367374,0.002499779652848376,5.32493293285384e-05,0.4767219958717862,-0.2682433875732717,0.025802176475524904,4,0.477526992559433,-0.26587677001953125,0.025748927146196365,0.9513683915138245,ok,544.2950439453125,470.459716796875
