trial,success,steps,wall_s,behavior_done,max_xy_off_mm,init_belief_err_mm,order,grasps,ghost_rejects,published,snapped,reacquired
0,True,1408,48.4,True,11.7,498.4,RedCube->YellowCube->GreenCube->BlueCube,4,24,17,28,4
1,True,1550,46.2,True,8.3,239.4,RedCube->YellowCube->GreenCube->BlueCube,4,50,20,21,5
2,True,1466,45.1,True,5.8,449.2,RedCube->YellowCube->GreenCube->BlueCube,4,43,35,24,5
3,True,1319,39.7,True,9.0,462.1,RedCube->YellowCube->GreenCube->BlueCube,4,5,20,10,6
4,True,1436,43.5,True,9.9,419.7,RedCube->YellowCube->GreenCube->BlueCube,4,40,36,20,4
5,False,5999,175.0,False,456.1,402.8,BlueCube->GreenCube->RedCube->YellowCube,2,0,319,173,1
6,True,1393,41.9,True,10.7,355.0,RedCube->YellowCube->GreenCube->BlueCube,4,48,43,23,3
7,False,5999,186.5,False,544.9,395.5,BlueCube->GreenCube->RedCube->YellowCube,2,12,351,454,2
8,True,1445,43.5,True,10.4,410.2,RedCube->YellowCube->GreenCube->BlueCube,4,28,28,18,5
9,False,5999,165.7,False,604.4,252.7,YellowCube->GreenCube->BlueCube->RedCube,1,0,9,4,0
